fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf,tipo_tabla
,,col_19,col_19,160.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,155.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,158.0,del-08-11-21-al-12-11-21.pdf,general
,,col_7,col_7,150.0,del-08-11-21-al-12-11-21.pdf,general
,,col_10,col_10,140.0,del-08-11-21-al-12-11-21.pdf,general
,,col_13,col_13,153.0,del-08-11-21-al-12-11-21.pdf,general
,,col_16,col_16,155.0,del-08-11-21-al-12-11-21.pdf,general
,,col_19,col_19,150.0,del-08-11-21-al-12-11-21.pdf,general
,,col_22,col_22,145.0,del-08-11-21-al-12-11-21.pdf,general
,,col_4,col_4,155.0,del-08-11-21-al-12-11-21.pdf,general
