fecha_desde,fecha_hasta,lugar,categoria,precio,fuente_pdf
01/10/2018,05/10/2018,COCLE,NOVILLO PARA TERMINAR CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,NOVILLO PARA TERMINAR DE CARNE,1.95,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERA DE CARNE,1.5,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERO CRUZADO DE LECHE,1.55,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TERNERO DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TORO CRUZADO DE LECHE,1.85,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,TORO DE CARNE,1.98,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA CRUZADA DE LECHE PARA CEBA,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA DE CARNE,1.65,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,COCLE,VACA DE CARNE PARA CEBA,1.5,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,MEDIA CEBA CRUZADO DE LECHE,1.45,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,MEDIA CEBA DE CARNE,2.2,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,NOVILLA CRUZADA DE LECHE,1.53,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,NOVILLA DE CARNE,1.7,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,NOVILLO DE CARNE,2.0,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,NOVILLO PARA TERMINAR DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,TERNERA CRUZADA DE LECHE,1.2,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,TERNERA DE CARNE,1.5,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,TERNERO CRUZADO DE LECHE,1.2,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,TERNERO DE CARNE,2.25,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,TORO DE CARNE,1.95,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,VACA CRUZADA DE LECHE,1.42,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,VACA CRUZADA DE LECHE PARA CEBA,1.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,VACA DE CARNE,1.68,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,DARIEN,VACA DE CARNE PARA CEBA,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,MEDIA CEBA CRUZADO DE LECHE,1.6,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,MEDIA CEBA DE CARNE,2.08,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLA CRUZADA DE LECHE,1.48,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLA DE CARNE,1.73,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLO CRUZADO DE LECHE,1.85,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLO DE CARNE,2.0,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLO PARA TERMINAR CRUZADO DE LECHE,1.8,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,NOVILLO PARA TERMINAR DE CARNE,1.98,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TERNERA CRUZADA DE LECHE,1.4,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TERNERA DE CARNE,1.5,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TERNERO CRUZADO DE LECHE,1.65,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TERNERO DE CARNE,2.1,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TORO CRUZADO DE LECHE,1.85,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,TORO DE CARNE,2.03,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,VACA CRUZADA DE LECHE,1.43,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,VACA CRUZADA DE LECHE PARA CEBA,1.48,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,VACA DE CARNE,1.63,del-01-10-18-al-05-10-18.pdf
01/10/2018,05/10/2018,VERAGUAS,VACA DE CARNE PARA CEBA,1.5,del-01-10-18-al-05-10-18.pdf
01/11/2021,5/11/2021,AZUERO,MEDIA CEBA CRUZADO DE LECHE,1.8,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,MEDIA CEBA DE CARNE,2.1,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,NOVILLA CRUZADA DE LECHE,1.65,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,NOVILLA DE CARNE,1.75,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,NOVILLO CRUZADO DE LECHE,1.85,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,NOVILLO DE CARNE,1.97,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TERNERA CRUZADA DE LECHE,1.65,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TERNERA DE CARNE,1.65,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TERNERO CRUZADO DE LECHE,1.8,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TERNERO DE CARNE,2.1,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TORO CRUZADO DE LECHE,1.85,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,TORO DE CARNE,1.95,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,VACA CRUZADA DE LECHE,1.6,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,VACA CRUZADA DE LECHE PARA CEBA,1.3,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,VACA DE CARNE,1.69,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,AZUERO,VACA DE CARNE PARA CEBA,1.6,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,CHEPO,TORO DE CARNE,2.03,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,MEDIA CEBA CRUZADO DE LECHE,1.6,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,MEDIA CEBA DE CARNE,2.1,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,NOVILLA CRUZADA DE LECHE,1.65,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,NOVILLA DE CARNE,1.74,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,NOVILLO CRUZADO DE LECHE,1.95,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,NOVILLO DE CARNE,2.02,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TERNERA CRUZADA DE LECHE,1.58,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TERNERA DE CARNE,1.63,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TERNERO CRUZADO DE LECHE,1.5,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TERNERO DE CARNE,2.15,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TORO CRUZADO DE LECHE,1.9,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,TORO DE CARNE,2.03,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,VACA CRUZADA DE LECHE,1.6,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,VACA CRUZADA DE LECHE PARA CEBA,1.3,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,VACA DE CARNE,1.68,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,TORTI,VACA DE CARNE PARA CEBA,1.52,del-01-11-21-al-5-11-21.pdf
01/11/2021,5/11/2021,VERAGUAS,TORO DE CARNE,1.95,del-01-11-21-al-5-11-21.pdf
01/7/2024,05/7/2024,AZUERO,MEDIA CEBA CRUZADO DE LECHE,2.47,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,MEDIA CEBA DE CARNE,2.67,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,NOVILLA CRUZADA DE LECHE,2.15,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,NOVILLA DE CARNE,2.25,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,NOVILLO CRUZADO DE LECHE,2.25,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,NOVILLO DE CARNE,2.43,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,TERNERA CRUZADA DE LECHE,2.3,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,TERNERA DE CARNE,2.38,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,TERNERO CRUZADO DE LECHE,2.51,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,TORO CRUZADO DE LECHE,2.28,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,VACA CRUZADA DE LECHE,2.0,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,VACA CRUZADA DE LECHE PARA CEBA,1.55,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,VACA DE CARNE,2.18,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,AZUERO,VACA DE CARNE PARA CEBA,1.85,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,MEDIA CEBA CRUZADO DE LECHE,2.31,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,MEDIA CEBA DE CARNE,2.48,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,NOVILLA CRUZADA DE LECHE,2.18,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,NOVILLA DE CARNE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,NOVILLO CRUZADO DE LECHE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,NOVILLO DE CARNE,2.35,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,TERNERA CRUZADA DE LECHE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,TERNERA DE CARNE,2.26,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,TERNERO CRUZADO DE LECHE,2.5,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,TORO CRUZADO DE LECHE,2.28,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,VACA CRUZADA DE LECHE,2.0,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,VACA CRUZADA DE LECHE PARA CEBA,1.55,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,VACA DE CARNE,2.15,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,BAGALA,VACA DE CARNE PARA CEBA,2.03,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,MEDIA CEBA CRUZADO DE LECHE,2.49,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,MEDIA CEBA DE CARNE,2.58,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,NOVILLA CRUZADA DE LECHE,2.2,del-01-7-24-al-05-7-24.pdf
01/7/2024,05/7/2024,CHEPO,NOVILLA DE CARNE,2.23,del-01-7-24-al-05-7-24.pdf
